step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
3850,0,6.2551,6.2452,0.0308,0.0987,1.44e-04,5.53_samples/s
3900,0,6.1586,6.1487,0.0315,0.0995,1.46e-04,5.53_samples/s
3950,0,6.3858,6.3759,0.0317,0.0987,1.48e-04,5.53_samples/s
4000,0,6.0176,6.0077,0.0324,0.0989,1.50e-04,5.53_samples/s
4050,0,6.3502,6.3404,0.0337,0.0983,1.52e-04,5.53_samples/s
4100,0,6.3558,6.3460,0.0340,0.0979,1.54e-04,5.53_samples/s
4150,0,5.9184,5.9088,0.0347,0.0964,1.55e-04,5.52_samples/s
4200,0,6.1899,6.1804,0.0353,0.0951,1.57e-04,5.52_samples/s
4250,0,6.1855,6.1760,0.0359,0.0949,1.59e-04,5.52_samples/s
4300,0,6.2366,6.2273,0.0363,0.0939,1.61e-04,5.51_samples/s
4350,0,6.2702,6.2608,0.0359,0.0936,1.63e-04,5.51_samples/s
4400,0,6.1969,6.1875,0.0356,0.0939,1.65e-04,5.51_samples/s
4450,0,6.3499,6.3406,0.0363,0.0933,1.67e-04,5.51_samples/s
4500,0,6.1522,6.1430,0.0367,0.0927,1.69e-04,5.51_samples/s
4550,0,6.0355,6.0264,0.0368,0.0918,1.70e-04,5.51_samples/s
4600,0,6.1737,6.1645,0.0370,0.0919,1.72e-04,5.50_samples/s
4650,0,5.8335,5.8246,0.0375,0.0899,1.74e-04,5.50_samples/s
4700,0,6.0072,5.9983,0.0365,0.0889,1.76e-04,5.50_samples/s
4750,0,6.1898,6.1809,0.0346,0.0889,1.78e-04,5.50_samples/s
4800,0,6.2055,6.1968,0.0318,0.0871,1.80e-04,5.50_samples/s
4850,0,5.8862,5.8775,0.0314,0.0869,1.82e-04,5.50_samples/s
4900,0,5.8593,5.8507,0.0308,0.0861,1.84e-04,5.50_samples/s
4950,0,6.1187,6.1100,0.0309,0.0867,1.85e-04,5.50_samples/s
