step,epoch,total_loss,ce_loss,phase_loss,kd_loss,lr,throughput
20,,15.0683,12.3575,,17.7790,1.20e-05,0.97_samples/s
40,,16.2806,11.3820,,21.1791,2.40e-05,1.33_samples/s
60,,10.2488,11.0485,,9.4491,3.60e-05,1.51_samples/s
80,,12.4416,10.7035,,14.1798,4.80e-05,1.48_samples/s
100,,13.9504,10.6542,,17.2466,6.00e-05,1.42_samples/s
120,,10.5138,10.3130,,10.7146,7.20e-05,1.35_samples/s
140,,14.7657,10.0743,,19.4572,8.40e-05,1.34_samples/s
160,,14.3740,10.2798,,18.4682,9.60e-05,1.32_samples/s
180,,17.8479,10.1007,,25.5950,1.08e-04,1.32_samples/s
200,,15.2069,10.1022,,20.3116,1.20e-04,1.31_samples/s
220,,14.3155,9.9547,,18.6764,1.32e-04,1.32_samples/s
240,,15.2452,9.1734,,21.3171,1.44e-04,1.34_samples/s
260,,9.9649,9.5223,,10.4074,1.56e-04,1.36_samples/s
280,,10.5238,9.5004,,11.5471,1.68e-04,1.39_samples/s
300,,9.5086,9.1057,,9.9114,1.80e-04,1.40_samples/s
320,,14.3865,8.8417,,19.9313,1.92e-04,1.43_samples/s
340,,11.5072,8.7233,,14.2911,2.04e-04,1.42_samples/s
360,,11.0755,9.1263,,13.0247,2.16e-04,1.45_samples/s
380,,10.3447,9.2015,,11.4879,2.28e-04,1.47_samples/s
400,,9.6004,8.4240,,10.7768,2.40e-04,1.48_samples/s
420,,13.6520,7.6769,,19.6271,2.52e-04,1.48_samples/s
440,,8.6853,8.3180,,9.0525,2.64e-04,1.50_samples/s
460,,13.0732,8.5912,,17.5553,2.76e-04,1.50_samples/s
480,,8.7341,7.8634,,9.6048,2.88e-04,1.52_samples/s
500,,10.5834,7.6518,,13.5149,3.00e-04,1.53_samples/s
520,,9.3342,10.3965,,8.2718,3.00e-04,1.55_samples/s
540,,12.0723,7.6470,,16.4976,3.00e-04,1.55_samples/s
560,,8.3577,7.8077,,8.9077,3.00e-04,1.57_samples/s
580,,10.9118,6.9083,,14.9154,3.00e-04,1.58_samples/s
600,,9.0882,7.7153,,10.4611,2.99e-04,1.59_samples/s
620,,7.5417,7.1049,,7.9785,2.99e-04,1.60_samples/s
640,,12.9111,8.0272,,17.7951,2.99e-04,1.61_samples/s
660,,13.8238,7.8371,,19.8104,2.99e-04,1.62_samples/s
680,,9.9976,7.7183,,12.2770,2.99e-04,1.63_samples/s
700,,9.6238,7.4663,,11.7812,2.99e-04,1.64_samples/s
