Epoch,Batch,Total_Loss,CE,KD,Phase,Mag,Mag_Mean,Mag_Std,Phase_Mean,Phase_Std
1,2230,8.463976860046387,8.463976860046387,0.0,0.0,0.0,1.2441082000732422,0.8152754902839661,1.551255226135254,1.1257236003875732
1,2240,9.002065658569336,9.002065658569336,0.0,0.0,0.0,1.246422290802002,0.8120650053024292,1.5568411350250244,1.11558997631073
1,2250,8.063495635986328,8.063495635986328,0.0,0.0,0.0,1.2403557300567627,0.8228687644004822,1.5457696914672852,1.1240692138671875
1,2260,7.7430644035339355,7.7430644035339355,0.0,0.0,0.0,1.2408379316329956,0.8228599429130554,1.5419949293136597,1.1239839792251587
1,2270,8.330981254577637,8.330981254577637,0.0,0.0,0.0,1.242538571357727,0.8205556869506836,1.544908046722412,1.1271469593048096
1,2280,8.231199264526367,8.231199264526367,0.0,0.0,0.0,1.243515968322754,0.8196626901626587,1.5452810525894165,1.1299097537994385
1,2290,7.62752103805542,7.62752103805542,0.0,0.0,0.0,1.2415661811828613,0.8230679035186768,1.5418429374694824,1.1268343925476074
1,2300,9.104907035827637,9.104907035827637,0.0,0.0,0.0,1.2526603937149048,0.8043616414070129,1.5599048137664795,1.1093089580535889
1,2310,8.357998847961426,8.357998847961426,0.0,0.0,0.0,1.2429041862487793,0.8215841054916382,1.5430665016174316,1.127056360244751
1,2320,9.01797866821289,9.01797866821289,0.0,0.0,0.0,1.249297022819519,0.8116520047187805,1.5509085655212402,1.120046854019165
1,2330,8.313376426696777,8.313376426696777,0.0,0.0,0.0,1.2432758808135986,0.8222705125808716,1.5393545627593994,1.1307827234268188
1,2340,8.907583236694336,8.907583236694336,0.0,0.0,0.0,1.249824047088623,0.8116052150726318,1.5503008365631104,1.1213496923446655
1,2350,7.829535484313965,7.829535484313965,0.0,0.0,0.0,1.2432525157928467,0.8230822086334229,1.5378609895706177,1.1265467405319214
1,2360,7.555185794830322,7.555185794830322,0.0,0.0,0.0,1.2445509433746338,0.8216742873191833,1.5377697944641113,1.12162446975708
1,2370,7.723150253295898,7.723150253295898,0.0,0.0,0.0,1.2483679056167603,0.8164322972297668,1.5431230068206787,1.1306889057159424
1,2380,7.548673629760742,7.548673629760742,0.0,0.0,0.0,1.2463808059692383,0.8201509714126587,1.5384762287139893,1.1259939670562744
1,2390,8.855928421020508,8.855928421020508,0.0,0.0,0.0,1.2531715631484985,0.8089519739151001,1.5468003749847412,1.121514916419983
1,2400,7.4607391357421875,7.4607391357421875,0.0,0.0,0.0,1.245942234992981,0.8216199278831482,1.531245470046997,1.1332389116287231
1,2410,7.2418928146362305,7.2418928146362305,0.0,0.0,0.0,1.2469003200531006,0.8212435841560364,1.5347239971160889,1.1273880004882812
1,2420,7.51641845703125,7.51641845703125,0.0,0.0,0.0,1.2470171451568604,0.8213784098625183,1.5287755727767944,1.132275104522705
1,2430,7.502509593963623,7.502509593963623,0.0,0.0,0.0,1.2485315799713135,0.8198838233947754,1.5324774980545044,1.1321593523025513
1,2440,7.907215118408203,7.907215118408203,0.0,0.0,0.0,1.2495286464691162,0.8194156885147095,1.5306684970855713,1.1313689947128296
1,2450,8.37061882019043,8.37061882019043,0.0,0.0,0.0,1.25282883644104,0.8152868747711182,1.536657452583313,1.1326196193695068
1,2460,7.798593997955322,7.798593997955322,0.0,0.0,0.0,1.2515387535095215,0.8182782530784607,1.5381333827972412,1.1332511901855469
1,2470,7.895686626434326,7.895686626434326,0.0,0.0,0.0,1.2523746490478516,0.8173151016235352,1.5391435623168945,1.132402777671814
1,2480,8.937121391296387,8.937121391296387,0.0,0.0,0.0,1.2610385417938232,0.8021595478057861,1.562867522239685,1.1098648309707642
1,2490,6.511966228485107,6.511966228485107,0.0,0.0,0.0,1.251847505569458,0.8199939131736755,1.5503507852554321,1.1258624792099
1,2500,8.386984825134277,8.386984825134277,0.0,0.0,0.0,1.2574214935302734,0.8114508390426636,1.546980619430542,1.1319198608398438
1,2510,8.430468559265137,8.430468559265137,0.0,0.0,0.0,1.2568427324295044,0.8130049705505371,1.5482083559036255,1.1288880109786987
1,2520,8.181139945983887,8.181139945983887,0.0,0.0,0.0,1.255981683731079,0.814996063709259,1.5471148490905762,1.128792405128479
1,2530,7.199394226074219,7.199394226074219,0.0,0.0,0.0,1.252577543258667,0.8206455707550049,1.5418728590011597,1.1285063028335571
1,2540,8.129191398620605,8.129191398620605,0.0,0.0,0.0,1.2563564777374268,0.8150257468223572,1.5436739921569824,1.1327381134033203
1,2550,7.770998477935791,7.770998477935791,0.0,0.0,0.0,1.2539334297180176,0.8192230463027954,1.540825366973877,1.133179783821106
1,2560,8.88404655456543,8.88404655456543,0.0,0.0,0.0,1.261793851852417,0.8057214617729187,1.562094807624817,1.1044960021972656
1,2570,8.243010520935059,8.243010520935059,0.0,0.0,0.0,1.2573301792144775,0.8152303695678711,1.541202425956726,1.1327478885650635
1,2580,8.717469215393066,8.717469215393066,0.0,0.0,0.0,1.2616809606552124,0.8082050085067749,1.5536608695983887,1.1190439462661743
1,2590,7.704580783843994,7.704580783843994,0.0,0.0,0.0,1.2570233345031738,0.8171829581260681,1.5433316230773926,1.1263657808303833
1,2600,8.154691696166992,8.154691696166992,0.0,0.0,0.0,1.2565457820892334,0.8187260627746582,1.5365147590637207,1.1289886236190796
1,2610,6.8820600509643555,6.8820600509643555,0.0,0.0,0.0,1.2558588981628418,0.8204032182693481,1.5349527597427368,1.125099778175354
1,2620,7.959765911102295,7.959765911102295,0.0,0.0,0.0,1.2564451694488525,0.8197142481803894,1.5320483446121216,1.1312110424041748
1,2630,8.066634178161621,8.066634178161621,0.0,0.0,0.0,1.2589105367660522,0.8168773651123047,1.535813331604004,1.1265308856964111
1,2640,8.577080726623535,8.577080726623535,0.0,0.0,0.0,1.261749029159546,0.8117936253547668,1.5434235334396362,1.117301106452942
1,2650,6.253894329071045,6.253894329071045,0.0,0.0,0.0,1.2589693069458008,0.8178372979164124,1.5310871601104736,1.1163684129714966
1,2660,6.983994483947754,6.983994483947754,0.0,0.0,0.0,1.2632322311401367,0.8126096725463867,1.5347058773040771,1.1219513416290283
1,2670,8.141280174255371,8.141280174255371,0.0,0.0,0.0,1.2659318447113037,0.8086530566215515,1.5329532623291016,1.1302251815795898
