step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,10.9183,10.8737,0.0436,0.2278,3.00e-04,0.00_samples/s
1,0,10.7215,10.6766,0.0439,0.2291,3.00e-04,0.64_samples/s
2,0,10.4510,10.4091,0.0389,0.2252,3.00e-04,1.22_samples/s
3,0,nan,nan,0.0333,0.2173,3.00e-04,1.75_samples/s
4,0,8.7369,8.6932,0.0459,0.2079,3.00e-04,2.24_samples/s
