step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
3850,0,6.2913,6.2806,0.0365,0.1065,1.44e-04,5.26_samples/s
3900,0,6.2717,6.2612,0.0361,0.1050,1.46e-04,5.27_samples/s
3950,0,6.1551,6.1445,0.0363,0.1059,1.48e-04,5.27_samples/s
4000,0,6.1796,6.1692,0.0376,0.1040,1.50e-04,5.27_samples/s
4050,0,6.4471,6.4367,0.0375,0.1043,1.52e-04,5.28_samples/s
4100,0,6.3530,6.3427,0.0377,0.1034,1.54e-04,5.28_samples/s
4150,0,6.2343,6.2239,0.0368,0.1041,1.55e-04,5.29_samples/s
4200,0,6.0857,6.0752,0.0365,0.1052,1.57e-04,5.29_samples/s
4250,0,6.3973,6.3865,0.0366,0.1077,1.59e-04,5.29_samples/s
4300,0,6.2664,6.2557,0.0370,0.1071,1.61e-04,5.29_samples/s
4350,0,6.0513,6.0413,0.0361,0.1002,1.63e-04,5.30_samples/s
4400,0,5.8308,5.8211,0.0352,0.0970,1.65e-04,5.30_samples/s
4450,0,6.3115,6.3017,0.0337,0.0982,1.67e-04,5.30_samples/s
4500,0,6.0554,6.0456,0.0327,0.0976,1.69e-04,5.30_samples/s
4550,0,6.0616,6.0513,0.0312,0.1031,1.70e-04,5.31_samples/s
4600,0,6.3333,6.3236,0.0312,0.0974,1.72e-04,5.31_samples/s
4650,0,6.2016,6.1915,0.0323,0.1011,1.74e-04,5.31_samples/s
4700,0,6.0187,6.0085,0.0347,0.1022,1.76e-04,5.32_samples/s
4750,0,6.0711,6.0603,0.0361,0.1079,1.78e-04,5.32_samples/s
4800,0,6.5327,6.5228,0.0354,0.0993,1.80e-04,5.32_samples/s
4850,0,6.0168,6.0066,0.0346,0.1024,1.82e-04,5.33_samples/s
4900,0,6.0627,6.0527,0.0355,0.1004,1.84e-04,5.33_samples/s
4950,0,6.0857,6.0754,0.0365,0.1033,1.85e-04,5.33_samples/s
5000,0,6.1732,6.1633,0.0363,0.0992,1.87e-04,5.34_samples/s
5050,0,5.9951,5.9839,0.0384,0.1123,1.89e-04,5.34_samples/s
5100,0,6.2962,6.2861,0.0343,0.1014,1.91e-04,5.34_samples/s
5150,0,5.8678,5.8577,0.0341,0.1013,1.93e-04,5.35_samples/s
5200,0,6.0239,6.0144,0.0337,0.0956,1.95e-04,5.35_samples/s
5250,0,6.0594,6.0495,0.0367,0.0990,1.97e-04,5.35_samples/s
5300,0,6.2840,6.2729,0.0406,0.1109,1.99e-04,5.36_samples/s
5350,0,5.8902,5.8810,0.0401,0.0925,2.00e-04,5.36_samples/s
5400,0,6.1675,6.1581,0.0386,0.0943,2.02e-04,5.36_samples/s
5450,0,6.1888,6.1791,0.0368,0.0971,2.04e-04,5.36_samples/s
5500,0,5.7469,5.7377,0.0370,0.0921,2.06e-04,5.37_samples/s
5550,0,5.8023,5.7929,0.0373,0.0932,2.08e-04,5.37_samples/s
5600,0,6.0835,6.0731,0.0382,0.1039,2.10e-04,5.37_samples/s
5650,0,5.7644,5.7549,0.0393,0.0952,2.12e-04,5.37_samples/s
5700,0,5.8877,5.8776,0.0386,0.1013,2.14e-04,5.37_samples/s
5750,0,5.7013,5.6913,0.0389,0.1002,2.15e-04,5.37_samples/s
5800,0,5.7924,5.7825,0.0394,0.0993,2.17e-04,5.38_samples/s
5850,0,5.6217,5.6122,0.0386,0.0946,2.19e-04,5.38_samples/s
5900,0,5.4488,5.4395,0.0375,0.0938,2.21e-04,5.38_samples/s
5950,0,5.7882,5.7779,0.0385,0.1029,2.23e-04,5.38_samples/s
6000,0,5.6358,5.6243,0.0365,0.1156,2.25e-04,5.38_samples/s
6050,0,5.5247,5.5135,0.0360,0.1118,2.27e-04,5.38_samples/s
6100,0,5.7338,5.7203,0.0386,0.1356,2.29e-04,5.37_samples/s
6150,0,5.4289,5.4175,0.0335,0.1139,2.30e-04,5.36_samples/s
6200,0,5.6454,5.6335,0.0348,0.1188,2.32e-04,5.36_samples/s
6250,0,5.5749,5.5628,0.0309,0.1218,2.34e-04,5.37_samples/s
6300,0,5.5406,5.5287,0.0342,0.1186,2.36e-04,5.37_samples/s
6350,0,5.4016,5.3874,0.0393,0.1422,2.38e-04,5.37_samples/s
6400,0,5.5170,5.5026,0.0375,0.1435,2.40e-04,5.37_samples/s
6450,0,5.3968,5.3812,0.0410,0.1559,2.42e-04,5.37_samples/s
6500,0,5.3232,5.3099,0.0369,0.1333,2.44e-04,5.37_samples/s
6550,0,5.4249,5.4092,0.0406,0.1574,2.45e-04,5.37_samples/s
6600,0,5.2358,5.2222,0.0368,0.1368,2.47e-04,5.38_samples/s
6650,0,5.4316,5.4149,0.0412,0.1670,2.49e-04,5.38_samples/s
6700,0,5.0081,4.9945,0.0384,0.1362,2.51e-04,5.38_samples/s
6750,0,5.0776,5.0645,0.0340,0.1309,2.53e-04,5.38_samples/s
6800,0,5.4024,5.3863,0.0393,0.1610,2.55e-04,5.38_samples/s
6850,0,4.9389,4.9250,0.0366,0.1393,2.57e-04,5.37_samples/s
6900,0,5.1953,5.1787,0.0391,0.1665,2.59e-04,5.36_samples/s
6950,0,4.9043,4.8883,0.0381,0.1598,2.60e-04,5.35_samples/s
7000,0,4.9312,4.9146,0.0374,0.1659,2.62e-04,5.35_samples/s
7050,0,4.6906,4.6748,0.0387,0.1577,2.64e-04,5.34_samples/s
7100,0,4.7819,4.7666,0.0361,0.1531,2.66e-04,5.34_samples/s
7150,0,4.9126,4.8930,0.0465,0.1964,2.68e-04,5.33_samples/s
7200,0,4.7286,4.7124,0.0419,0.1622,2.70e-04,5.33_samples/s
7250,0,5.2338,5.2177,0.0389,0.1612,2.72e-04,5.33_samples/s
7300,0,4.4113,4.3944,0.0410,0.1685,2.74e-04,5.34_samples/s
7350,0,4.4792,4.4620,0.0439,0.1723,2.75e-04,5.34_samples/s
7400,0,4.7370,4.7195,0.0415,0.1749,2.77e-04,5.34_samples/s
7450,0,4.3622,4.3476,0.0381,0.1454,2.79e-04,5.34_samples/s
7500,0,4.3185,4.3015,0.0420,0.1706,2.81e-04,5.35_samples/s
7550,0,4.4755,4.4585,0.0419,0.1700,2.83e-04,5.35_samples/s
7600,0,4.2919,4.2752,0.0437,0.1672,2.85e-04,5.35_samples/s
7650,0,4.1548,4.1379,0.0456,0.1693,2.87e-04,5.35_samples/s
7700,0,4.2690,4.2507,0.0475,0.1835,2.89e-04,5.35_samples/s
7750,0,4.3682,4.3500,0.0451,0.1821,2.90e-04,5.36_samples/s
