step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
3850,0,2.9044,2.8882,0.0261,0.1360,1.44e-04,4.80_samples/s
3900,0,2.9605,2.9452,0.0240,0.1287,1.46e-04,4.79_samples/s
3950,0,2.9605,2.9424,0.0283,0.1524,1.48e-04,4.79_samples/s
4000,0,2.6342,2.6150,0.0304,0.1625,1.50e-04,4.78_samples/s
4050,0,3.1210,3.1051,0.0253,0.1341,1.52e-04,4.77_samples/s
4100,0,2.7592,2.7396,0.0309,0.1653,1.54e-04,4.77_samples/s
4150,0,2.7318,2.7190,0.0206,0.1072,1.55e-04,4.77_samples/s
4200,0,2.6670,2.6532,0.0217,0.1164,1.57e-04,4.76_samples/s
4250,0,2.8534,2.8336,0.0316,0.1664,1.59e-04,4.76_samples/s
4300,0,2.7138,2.6976,0.0248,0.1366,1.61e-04,4.76_samples/s
4350,0,2.7773,2.7557,0.0319,0.1836,1.63e-04,4.75_samples/s
4400,0,2.8273,2.8119,0.0236,0.1302,1.65e-04,4.74_samples/s
4450,0,2.9504,2.9331,0.0269,0.1456,1.67e-04,4.73_samples/s
4500,0,2.5895,2.5747,0.0223,0.1255,1.69e-04,4.74_samples/s
4550,0,2.7863,2.7719,0.0223,0.1216,1.70e-04,4.76_samples/s
4600,0,2.5997,2.5872,0.0198,0.1056,1.72e-04,4.76_samples/s
4650,0,2.7173,2.7018,0.0245,0.1309,1.74e-04,4.77_samples/s
4700,0,2.6867,2.6681,0.0295,0.1568,1.76e-04,4.77_samples/s
4750,0,2.5291,2.5157,0.0215,0.1118,1.78e-04,4.75_samples/s
4800,0,2.3631,2.3490,0.0214,0.1196,1.80e-04,4.74_samples/s
4850,0,2.4403,2.4278,0.0192,0.1057,1.82e-04,4.73_samples/s
4900,0,2.7412,2.7257,0.0249,0.1302,1.84e-04,4.72_samples/s
4950,0,2.6489,2.6299,0.0293,0.1615,1.85e-04,4.71_samples/s
5000,0,2.7514,2.7388,0.0197,0.1056,1.87e-04,4.71_samples/s
